name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,company
chevelle malibu,18.0,8,307.0,130.0,3504,12.0,70,usa,chevrolet
skylark 320,15.0,8,350.0,165.0,3693,11.5,70,usa,buick
satellite,18.0,8,318.0,150.0,3436,11.0,70,usa,plymouth
rebel sst,16.0,8,304.0,150.0,3433,12.0,70,usa,amc
torino,17.0,8,302.0,140.0,3449,10.5,70,usa,ford
galaxie 500,15.0,8,429.0,198.0,4341,10.0,70,usa,ford
impala,14.0,8,454.0,220.0,4354,9.0,70,usa,chevrolet
fury iii,14.0,8,440.0,215.0,4312,8.5,70,usa,plymouth
catalina,14.0,8,455.0,225.0,4425,10.0,70,usa,pontiac
ambassador dpl,15.0,8,390.0,190.0,3850,8.5,70,usa,amc
challenger se,15.0,8,383.0,170.0,3563,10.0,70,usa,dodge
'cuda 340,14.0,8,340.0,160.0,3609,8.0,70,usa,plymouth
monte carlo,15.0,8,400.0,150.0,3761,9.5,70,usa,chevrolet
estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,70,usa,buick
corona mark ii,24.0,4,113.0,95.0,2372,15.0,70,japan,toyota
duster,22.0,6,198.0,95.0,2833,15.5,70,usa,plymouth
hornet,18.0,6,199.0,97.0,2774,15.5,70,usa,amc
maverick,21.0,6,200.0,85.0,2587,16.0,70,usa,ford
pl510,27.0,4,97.0,88.0,2130,14.5,70,japan,datsun
1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,70,europe,volkswagen
504,25.0,4,110.0,87.0,2672,17.5,70,europe,peugeot
100 ls,24.0,4,107.0,90.0,2430,14.5,70,europe,audi
99e,25.0,4,104.0,95.0,2375,17.5,70,europe,saab
2002,26.0,4,121.0,113.0,2234,12.5,70,europe,bmw
gremlin,21.0,6,199.0,90.0,2648,15.0,70,usa,amc
f250,10.0,8,360.0,215.0,4615,14.0,70,usa,ford
c20,10.0,8,307.0,200.0,4376,15.0,70,usa,chevrolet
d200,11.0,8,318.0,210.0,4382,13.5,70,usa,dodge
1200d,9.0,8,304.0,193.0,4732,18.5,70,usa,hi
pl510,27.0,4,97.0,88.0,2130,14.5,71,japan,datsun
vega 2300,28.0,4,140.0,90.0,2264,15.5,71,usa,chevrolet
corona,25.0,4,113.0,95.0,2228,14.0,71,japan,toyota
gremlin,19.0,6,232.0,100.0,2634,13.0,71,usa,amc
satellite custom,16.0,6,225.0,105.0,3439,15.5,71,usa,plymouth
chevelle malibu,17.0,6,250.0,100.0,3329,15.5,71,usa,chevrolet
torino 500,19.0,6,250.0,88.0,3302,15.5,71,usa,ford
matador,18.0,6,232.0,100.0,3288,15.5,71,usa,amc
impala,14.0,8,350.0,165.0,4209,12.0,71,usa,chevrolet
catalina brougham,14.0,8,400.0,175.0,4464,11.5,71,usa,pontiac
galaxie 500,14.0,8,351.0,153.0,4154,13.5,71,usa,ford
fury iii,14.0,8,318.0,150.0,4096,13.0,71,usa,plymouth
monaco (sw),12.0,8,383.0,180.0,4955,11.5,71,usa,dodge
country squire (sw),13.0,8,400.0,170.0,4746,12.0,71,usa,ford
safari (sw),13.0,8,400.0,175.0,5140,12.0,71,usa,pontiac
hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,71,usa,amc
vega (sw),22.0,4,140.0,72.0,2408,19.0,71,usa,chevrolet
firebird,19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac
mustang,18.0,6,250.0,88.0,3139,14.5,71,usa,ford
capri 2000,23.0,4,122.0,86.0,2220,14.0,71,usa,mercury
1900,28.0,4,116.0,90.0,2123,14.0,71,europe,opel
304,30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot
124b,30.0,4,88.0,76.0,2065,14.5,71,europe,fiat
corolla 1200,31.0,4,71.0,65.0,1773,19.0,71,japan,toyota
1200,35.0,4,72.0,69.0,1613,18.0,71,japan,datsun
model 111,27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen
cricket,26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth
corona hardtop,24.0,4,113.0,95.0,2278,15.5,72,japan,toyota
colt hardtop,25.0,4,97.5,80.0,2126,17.0,72,usa,dodge
type 3,23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen
vega,20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet
pinto runabout,21.0,4,122.0,86.0,2226,16.5,72,usa,ford
impala,13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet
catalina,14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac
fury iii,15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth
galaxie 500,14.0,8,351.0,153.0,4129,13.0,72,usa,ford
ambassador sst,17.0,8,304.0,150.0,3672,11.5,72,usa,amc
marquis,11.0,8,429.0,208.0,4633,11.0,72,usa,mercury
lesabre custom,13.0,8,350.0,155.0,4502,13.5,72,usa,buick
delta 88 royale,12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile
newport royal,13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler
rx2 coupe,19.0,3,70.0,97.0,2330,13.5,72,japan,mazda
matador (sw),15.0,8,304.0,150.0,3892,12.5,72,usa,amc
chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet
gran torino (sw),13.0,8,302.0,140.0,4294,16.0,72,usa,ford
satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth
145e (sw),18.0,4,121.0,112.0,2933,14.5,72,europe,volvo
411 (sw),22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen
504 (sw),21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot
12 (sw),26.0,4,96.0,69.0,2189,18.0,72,europe,renault
pinto (sw),22.0,4,122.0,86.0,2395,16.0,72,usa,ford
510 (sw),28.0,4,97.0,92.0,2288,17.0,72,japan,datsun
corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,72,japan,toyota
colt (sw),28.0,4,98.0,80.0,2164,15.0,72,usa,dodge
corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,72,japan,toyota
century 350,13.0,8,350.0,175.0,4100,13.0,73,usa,buick
matador,14.0,8,304.0,150.0,3672,11.5,73,usa,amc
malibu,13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet
gran torino,14.0,8,302.0,137.0,4042,14.5,73,usa,ford
coronet custom,15.0,8,318.0,150.0,3777,12.5,73,usa,dodge
marquis brougham,12.0,8,429.0,198.0,4952,11.5,73,usa,mercury
caprice classic,13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet
ltd,13.0,8,351.0,158.0,4363,13.0,73,usa,ford
fury gran sedan,14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth
new yorker brougham,13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler
electra 225 custom,12.0,8,455.0,225.0,4951,11.0,73,usa,buick
ambassador brougham,13.0,8,360.0,175.0,3821,11.0,73,usa,amc
valiant,18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth
nova custom,16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet
hornet,18.0,6,232.0,100.0,2945,16.0,73,usa,amc
maverick,18.0,6,250.0,88.0,3021,16.5,73,usa,ford
duster,23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth
super beetle,26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen
impala,11.0,8,400.0,150.0,4997,14.0,73,usa,chevrolet
country,12.0,8,400.0,167.0,4906,12.5,73,usa,ford
custom suburb,13.0,8,360.0,170.0,4654,13.0,73,usa,plymouth
vista cruiser,12.0,8,350.0,180.0,4499,12.5,73,usa,oldsmobile
gremlin,18.0,6,232.0,100.0,2789,15.0,73,usa,amc
carina,20.0,4,97.0,88.0,2279,19.0,73,japan,toyota
vega,21.0,4,140.0,72.0,2401,19.5,73,usa,chevrolet
610,22.0,4,108.0,94.0,2379,16.5,73,japan,datsun
rx3,18.0,3,70.0,90.0,2124,13.5,73,japan,mazda
pinto,19.0,4,122.0,85.0,2310,18.5,73,usa,ford
capri v6,21.0,6,155.0,107.0,2472,14.0,73,usa,mercury
124 sport coupe,26.0,4,98.0,90.0,2265,15.5,73,europe,fiat
monte carlo s,15.0,8,350.0,145.0,4082,13.0,73,usa,chevrolet
grand prix,16.0,8,400.0,230.0,4278,9.5,73,usa,pontiac
128,29.0,4,68.0,49.0,1867,19.5,73,europe,fiat
manta,24.0,4,116.0,75.0,2158,15.5,73,europe,opel
100ls,20.0,4,114.0,91.0,2582,14.0,73,europe,audi
144ea,19.0,4,121.0,112.0,2868,15.5,73,europe,volvo
dart custom,15.0,8,318.0,150.0,3399,11.0,73,usa,dodge
99le,24.0,4,121.0,110.0,2660,14.0,73,europe,saab
mark ii,20.0,6,156.0,122.0,2807,13.5,73,japan,toyota
omega,11.0,8,350.0,180.0,3664,11.0,73,usa,oldsmobile
duster,20.0,6,198.0,95.0,3102,16.5,74,usa,plymouth
hornet,19.0,6,232.0,100.0,2901,16.0,74,usa,amc
nova,15.0,6,250.0,100.0,3336,17.0,74,usa,chevrolet
b210,31.0,4,79.0,67.0,1950,19.0,74,japan,datsun
pinto,26.0,4,122.0,80.0,2451,16.5,74,usa,ford
corolla 1200,32.0,4,71.0,65.0,1836,21.0,74,japan,toyota
vega,25.0,4,140.0,75.0,2542,17.0,74,usa,chevrolet
chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,74,usa,chevrolet
matador,16.0,6,258.0,110.0,3632,18.0,74,usa,amc
satellite sebring,18.0,6,225.0,105.0,3613,16.5,74,usa,plymouth
gran torino,16.0,8,302.0,140.0,4141,14.0,74,usa,ford
century luxus (sw),13.0,8,350.0,150.0,4699,14.5,74,usa,buick
coronet custom (sw),14.0,8,318.0,150.0,4457,13.5,74,usa,dodge
gran torino (sw),14.0,8,302.0,140.0,4638,16.0,74,usa,ford
matador (sw),14.0,8,304.0,150.0,4257,15.5,74,usa,amc
fox,29.0,4,98.0,83.0,2219,16.5,74,europe,audi
dasher,26.0,4,79.0,67.0,1963,15.5,74,europe,volkswagen
manta,26.0,4,97.0,78.0,2300,14.5,74,europe,opel
corona,31.0,4,76.0,52.0,1649,16.5,74,japan,toyota
710,32.0,4,83.0,61.0,2003,19.0,74,japan,datsun
colt,28.0,4,90.0,75.0,2125,14.5,74,usa,dodge
128,24.0,4,90.0,75.0,2108,15.5,74,europe,fiat
124 tc,26.0,4,116.0,75.0,2246,14.0,74,europe,fiat
civic,24.0,4,120.0,97.0,2489,15.0,74,japan,honda
,26.0,4,108.0,93.0,2391,15.5,74,japan,subaru
x1.9,31.0,4,79.0,67.0,2000,16.0,74,europe,fiat
valiant custom,19.0,6,225.0,95.0,3264,16.0,75,usa,plymouth
nova,18.0,6,250.0,105.0,3459,16.0,75,usa,chevrolet
monarch,15.0,6,250.0,72.0,3432,21.0,75,usa,mercury
maverick,15.0,6,250.0,72.0,3158,19.5,75,usa,ford
catalina,16.0,8,400.0,170.0,4668,11.5,75,usa,pontiac
bel air,15.0,8,350.0,145.0,4440,14.0,75,usa,chevrolet
grand fury,16.0,8,318.0,150.0,4498,14.5,75,usa,plymouth
ltd,14.0,8,351.0,148.0,4657,13.5,75,usa,ford
century,17.0,6,231.0,110.0,3907,21.0,75,usa,buick
chevelle malibu,16.0,6,250.0,105.0,3897,18.5,75,usa,chevrolet
matador,15.0,6,258.0,110.0,3730,19.0,75,usa,amc
fury,18.0,6,225.0,95.0,3785,19.0,75,usa,plymouth
skyhawk,21.0,6,231.0,110.0,3039,15.0,75,usa,buick
monza 2+2,20.0,8,262.0,110.0,3221,13.5,75,usa,chevrolet
mustang ii,13.0,8,302.0,129.0,3169,12.0,75,usa,ford
corolla,29.0,4,97.0,75.0,2171,16.0,75,japan,toyota
pinto,23.0,4,140.0,83.0,2639,17.0,75,usa,ford
gremlin,20.0,6,232.0,100.0,2914,16.0,75,usa,amc
astro,23.0,4,140.0,78.0,2592,18.5,75,usa,pontiac
corona,24.0,4,134.0,96.0,2702,13.5,75,japan,toyota
dasher,25.0,4,90.0,71.0,2223,16.5,75,europe,volkswagen
710,24.0,4,119.0,97.0,2545,17.0,75,japan,datsun
pinto,18.0,6,171.0,97.0,2984,14.5,75,usa,ford
rabbit,29.0,4,90.0,70.0,1937,14.0,75,europe,volkswagen
pacer,19.0,6,232.0,90.0,3211,17.0,75,usa,amc
100ls,23.0,4,115.0,95.0,2694,15.0,75,europe,audi
504,23.0,4,120.0,88.0,2957,17.0,75,europe,peugeot
244dl,22.0,4,121.0,98.0,2945,14.5,75,europe,volvo
99le,25.0,4,121.0,115.0,2671,13.5,75,europe,saab
civic cvcc,33.0,4,91.0,53.0,1795,17.5,75,japan,honda
131,28.0,4,107.0,86.0,2464,15.5,76,europe,fiat
1900,25.0,4,116.0,81.0,2220,16.9,76,europe,opel
ii,25.0,4,140.0,92.0,2572,14.9,76,usa,capri
colt,26.0,4,98.0,79.0,2255,17.7,76,usa,dodge
12tl,27.0,4,101.0,83.0,2202,15.3,76,europe,renault
chevelle malibu classic,17.5,8,305.0,140.0,4215,13.0,76,usa,chevrolet
coronet brougham,16.0,8,318.0,150.0,4190,13.0,76,usa,dodge
matador,15.5,8,304.0,120.0,3962,13.9,76,usa,amc
gran torino,14.5,8,351.0,152.0,4215,12.8,76,usa,ford
valiant,22.0,6,225.0,100.0,3233,15.4,76,usa,plymouth
nova,22.0,6,250.0,105.0,3353,14.5,76,usa,chevrolet
maverick,24.0,6,200.0,81.0,3012,17.6,76,usa,ford
hornet,22.5,6,232.0,90.0,3085,17.6,76,usa,amc
chevette,29.0,4,85.0,52.0,2035,22.2,76,usa,chevrolet
woody,24.5,4,98.0,60.0,2164,22.1,76,usa,chevrolet
rabbit,29.0,4,90.0,70.0,1937,14.2,76,europe,volkswagen
civic,33.0,4,91.0,53.0,1795,17.4,76,japan,honda
aspen se,20.0,6,225.0,100.0,3651,17.7,76,usa,dodge
granada ghia,18.0,6,250.0,78.0,3574,21.0,76,usa,ford
ventura sj,18.5,6,250.0,110.0,3645,16.2,76,usa,pontiac
pacer d/l,17.5,6,258.0,95.0,3193,17.8,76,usa,amc
rabbit,29.5,4,97.0,71.0,1825,12.2,76,europe,volkswagen
b-210,32.0,4,85.0,70.0,1990,17.0,76,japan,datsun
corolla,28.0,4,97.0,75.0,2155,16.4,76,japan,toyota
pinto,26.5,4,140.0,72.0,2565,13.6,76,usa,ford
245,20.0,4,130.0,102.0,3150,15.7,76,europe,volvo
volare premier v8,13.0,8,318.0,150.0,3940,13.2,76,usa,plymouth
504,19.0,4,120.0,88.0,3270,21.9,76,europe,peugeot
mark ii,19.0,6,156.0,108.0,2930,15.5,76,japan,toyota
280s,16.5,6,168.0,120.0,3820,16.7,76,europe,mercedes
seville,16.5,8,350.0,180.0,4380,12.1,76,usa,cadillac
c10,13.0,8,350.0,145.0,4055,12.0,76,usa,chevrolet
f108,13.0,8,302.0,130.0,3870,15.0,76,usa,ford
d100,13.0,8,318.0,150.0,3755,14.0,76,usa,dodge
accord cvcc,31.5,4,98.0,68.0,2045,18.5,77,japan,honda
opel isuzu deluxe,30.0,4,111.0,80.0,2155,14.8,77,usa,buick
5 gtl,36.0,4,79.0,58.0,1825,18.6,77,europe,renault
arrow gs,25.5,4,122.0,96.0,2300,15.5,77,usa,plymouth
f-10 hatchback,33.5,4,85.0,70.0,1945,16.8,77,japan,datsun
caprice classic,17.5,8,305.0,145.0,3880,12.5,77,usa,chevrolet
cutlass supreme,17.0,8,260.0,110.0,4060,19.0,77,usa,oldsmobile
monaco brougham,15.5,8,318.0,145.0,4140,13.7,77,usa,dodge
cougar brougham,15.0,8,302.0,130.0,4295,14.9,77,usa,mercury
concours,17.5,6,250.0,110.0,3520,16.4,77,usa,chevrolet
skylark,20.5,6,231.0,105.0,3425,16.9,77,usa,buick
volare custom,19.0,6,225.0,100.0,3630,17.7,77,usa,plymouth
granada,18.5,6,250.0,98.0,3525,19.0,77,usa,ford
grand prix lj,16.0,8,400.0,180.0,4220,11.1,77,usa,pontiac
monte carlo landau,15.5,8,350.0,170.0,4165,11.4,77,usa,chevrolet
cordoba,15.5,8,400.0,190.0,4325,12.2,77,usa,chrysler
thunderbird,16.0,8,351.0,149.0,4335,14.5,77,usa,ford
rabbit custom,29.0,4,97.0,78.0,1940,14.5,77,europe,volkswagen
sunbird coupe,24.5,4,151.0,88.0,2740,16.0,77,usa,pontiac
corolla liftback,26.0,4,97.0,75.0,2265,18.2,77,japan,toyota
mustang ii 2+2,25.5,4,140.0,89.0,2755,15.8,77,usa,ford
chevette,30.5,4,98.0,63.0,2051,17.0,77,usa,chevrolet
colt m/m,33.5,4,98.0,83.0,2075,15.9,77,usa,dodge
dl,30.0,4,97.0,67.0,1985,16.4,77,japan,subaru
dasher,30.5,4,97.0,78.0,2190,14.1,77,europe,volkswagen
810,22.0,6,146.0,97.0,2815,14.5,77,japan,datsun
320i,21.5,4,121.0,110.0,2600,12.8,77,europe,bmw
rx-4,21.5,3,80.0,110.0,2720,13.5,77,japan,mazda
rabbit custom diesel,43.1,4,90.0,48.0,1985,21.5,78,europe,volkswagen
fiesta,36.1,4,98.0,66.0,1800,14.4,78,usa,ford
glc deluxe,32.8,4,78.0,52.0,1985,19.4,78,japan,mazda
b210 gx,39.4,4,85.0,70.0,2070,18.6,78,japan,datsun
civic cvcc,36.1,4,91.0,60.0,1800,16.4,78,japan,honda
cutlass salon brougham,19.9,8,260.0,110.0,3365,15.5,78,usa,oldsmobile
diplomat,19.4,8,318.0,140.0,3735,13.2,78,usa,dodge
monarch ghia,20.2,8,302.0,139.0,3570,12.8,78,usa,mercury
phoenix lj,19.2,6,231.0,105.0,3535,19.2,78,usa,pontiac
malibu,20.5,6,200.0,95.0,3155,18.2,78,usa,chevrolet
fairmont (auto),20.2,6,200.0,85.0,2965,15.8,78,usa,ford
fairmont (man),25.1,4,140.0,88.0,2720,15.4,78,usa,ford
volare,20.5,6,225.0,100.0,3430,17.2,78,usa,plymouth
concord,19.4,6,232.0,90.0,3210,17.2,78,usa,amc
century special,20.6,6,231.0,105.0,3380,15.8,78,usa,buick
zephyr,20.8,6,200.0,85.0,3070,16.7,78,usa,mercury
aspen,18.6,6,225.0,110.0,3620,18.7,78,usa,dodge
concord d/l,18.1,6,258.0,120.0,3410,15.1,78,usa,amc
monte carlo landau,19.2,8,305.0,145.0,3425,13.2,78,usa,chevrolet
regal sport coupe (turbo),17.7,6,231.0,165.0,3445,13.4,78,usa,buick
futura,18.1,8,302.0,139.0,3205,11.2,78,usa,ford
magnum xe,17.5,8,318.0,140.0,4080,13.7,78,usa,dodge
chevette,30.0,4,98.0,68.0,2155,16.5,78,usa,chevrolet
corona,27.5,4,134.0,95.0,2560,14.2,78,japan,toyota
510,27.2,4,119.0,97.0,2300,14.7,78,japan,datsun
omni,30.9,4,105.0,75.0,2230,14.5,78,usa,dodge
celica gt liftback,21.1,4,134.0,95.0,2515,14.8,78,japan,toyota
sapporo,23.2,4,156.0,105.0,2745,16.7,78,usa,plymouth
starfire sx,23.8,4,151.0,85.0,2855,17.6,78,usa,oldsmobile
200-sx,23.9,4,119.0,97.0,2405,14.9,78,japan,datsun
5000,20.3,5,131.0,103.0,2830,15.9,78,europe,audi
264gl,17.0,6,163.0,125.0,3140,13.6,78,europe,volvo
99gle,21.6,4,121.0,115.0,2795,15.7,78,europe,saab
604sl,16.2,6,163.0,133.0,3410,15.8,78,europe,peugeot
scirocco,31.5,4,89.0,71.0,1990,14.9,78,europe,volkswagen
accord lx,29.5,4,98.0,68.0,2135,16.6,78,japan,honda
lemans v6,21.5,6,231.0,115.0,3245,15.4,79,usa,pontiac
zephyr 6,19.8,6,200.0,85.0,2990,18.2,79,usa,mercury
fairmont 4,22.3,4,140.0,88.0,2890,17.3,79,usa,ford
concord dl 6,20.2,6,232.0,90.0,3265,18.2,79,usa,amc
aspen 6,20.6,6,225.0,110.0,3360,16.6,79,usa,dodge
caprice classic,17.0,8,305.0,130.0,3840,15.4,79,usa,chevrolet
ltd landau,17.6,8,302.0,129.0,3725,13.4,79,usa,ford
grand marquis,16.5,8,351.0,138.0,3955,13.2,79,usa,mercury
st. regis,18.2,8,318.0,135.0,3830,15.2,79,usa,dodge
estate wagon (sw),16.9,8,350.0,155.0,4360,14.9,79,usa,buick
country squire (sw),15.5,8,351.0,142.0,4054,14.3,79,usa,ford
malibu classic (sw),19.2,8,267.0,125.0,3605,15.0,79,usa,chevrolet
lebaron town @ country (sw),18.5,8,360.0,150.0,3940,13.0,79,usa,chrysler
rabbit custom,31.9,4,89.0,71.0,1925,14.0,79,europe,volkswagen
glc deluxe,34.1,4,86.0,65.0,1975,15.2,79,japan,mazda
colt hatchback custom,35.7,4,98.0,80.0,1915,14.4,79,usa,dodge
spirit dl,27.4,4,121.0,80.0,2670,15.0,79,usa,amc
benz 300d,25.4,5,183.0,77.0,3530,20.1,79,europe,mercedes
eldorado,23.0,8,350.0,125.0,3900,17.4,79,usa,cadillac
504,27.2,4,141.0,71.0,3190,24.8,79,europe,peugeot
cutlass salon brougham,23.9,8,260.0,90.0,3420,22.2,79,usa,oldsmobile
horizon,34.2,4,105.0,70.0,2200,13.2,79,usa,plymouth
horizon tc3,34.5,4,105.0,70.0,2150,14.9,79,usa,plymouth
210,31.8,4,85.0,65.0,2020,19.2,79,japan,datsun
strada custom,37.3,4,91.0,69.0,2130,14.7,79,europe,fiat
skylark limited,28.4,4,151.0,90.0,2670,16.0,79,usa,buick
citation,28.8,6,173.0,115.0,2595,11.3,79,usa,chevrolet
omega brougham,26.8,6,173.0,115.0,2700,12.9,79,usa,oldsmobile
phoenix,33.5,4,151.0,90.0,2556,13.2,79,usa,pontiac
rabbit,41.5,4,98.0,76.0,2144,14.7,80,europe,volkswagen
corolla tercel,38.1,4,89.0,60.0,1968,18.8,80,japan,toyota
chevette,32.1,4,98.0,70.0,2120,15.5,80,usa,chevrolet
310,37.2,4,86.0,65.0,2019,16.4,80,japan,datsun
citation,28.0,4,151.0,90.0,2678,16.5,80,usa,chevrolet
fairmont,26.4,4,140.0,88.0,2870,18.1,80,usa,ford
concord,24.3,4,151.0,90.0,3003,20.1,80,usa,amc
aspen,19.1,6,225.0,90.0,3381,18.7,80,usa,dodge
4000,34.3,4,97.0,78.0,2188,15.8,80,europe,audi
corona liftback,29.8,4,134.0,90.0,2711,15.5,80,japan,toyota
626,31.3,4,120.0,75.0,2542,17.5,80,japan,mazda
510 hatchback,37.0,4,119.0,92.0,2434,15.0,80,japan,datsun
corolla,32.2,4,108.0,75.0,2265,15.2,80,japan,toyota
glc,46.6,4,86.0,65.0,2110,17.9,80,japan,mazda
colt,27.9,4,156.0,105.0,2800,14.4,80,usa,dodge
210,40.8,4,85.0,65.0,2110,19.2,80,japan,datsun
rabbit c (diesel),44.3,4,90.0,48.0,2085,21.7,80,europe,volkswagen
dasher (diesel),43.4,4,90.0,48.0,2335,23.7,80,europe,volkswagen
5000s (diesel),36.4,5,121.0,67.0,2950,19.9,80,europe,audi
240d,30.0,4,146.0,67.0,3250,21.8,80,europe,mercedes
civic 1500 gl,44.6,4,91.0,67.0,1850,13.8,80,japan,honda
dl,33.8,4,97.0,67.0,2145,18.0,80,japan,subaru
rabbit,29.8,4,89.0,62.0,1845,15.3,80,europe,volkswagen
280-zx,32.7,6,168.0,132.0,2910,11.4,80,japan,datsun
rx-7 gs,23.7,3,70.0,100.0,2420,12.5,80,japan,mazda
tr7 coupe,35.0,4,122.0,88.0,2500,15.1,80,europe,triumph
accord,32.4,4,107.0,72.0,2290,17.0,80,japan,honda
reliant,27.2,4,135.0,84.0,2490,15.7,81,usa,plymouth
skylark,26.6,4,151.0,84.0,2635,16.4,81,usa,buick
aries wagon (sw),25.8,4,156.0,92.0,2620,14.4,81,usa,dodge
citation,23.5,6,173.0,110.0,2725,12.6,81,usa,chevrolet
reliant,30.0,4,135.0,84.0,2385,12.9,81,usa,plymouth
starlet,39.1,4,79.0,58.0,1755,16.9,81,japan,toyota
champ,39.0,4,86.0,64.0,1875,16.4,81,usa,plymouth
civic 1300,35.1,4,81.0,60.0,1760,16.1,81,japan,honda
,32.3,4,97.0,67.0,2065,17.8,81,japan,subaru
210 mpg,37.0,4,85.0,65.0,1975,19.4,81,japan,datsun
tercel,37.7,4,89.0,62.0,2050,17.3,81,japan,toyota
glc 4,34.1,4,91.0,68.0,1985,16.0,81,japan,mazda
horizon 4,34.7,4,105.0,63.0,2215,14.9,81,usa,plymouth
escort 4w,34.4,4,98.0,65.0,2045,16.2,81,usa,ford
escort 2h,29.9,4,98.0,65.0,2380,20.7,81,usa,ford
jetta,33.0,4,105.0,74.0,2190,14.2,81,europe,volkswagen
prelude,33.7,4,107.0,75.0,2210,14.4,81,japan,honda
corolla,32.4,4,108.0,75.0,2350,16.8,81,japan,toyota
200sx,32.9,4,119.0,100.0,2615,14.8,81,japan,datsun
626,31.6,4,120.0,74.0,2635,18.3,81,japan,mazda
505s turbo diesel,28.1,4,141.0,80.0,3230,20.4,81,europe,peugeot
diesel,30.7,6,145.0,76.0,3160,19.6,81,europe,volvo
cressida,25.4,6,168.0,116.0,2900,12.6,81,japan,toyota
810 maxima,24.2,6,146.0,120.0,2930,13.8,81,japan,datsun
century,22.4,6,231.0,110.0,3415,15.8,81,usa,buick
cutlass ls,26.6,8,350.0,105.0,3725,19.0,81,usa,oldsmobile
granada gl,20.2,6,200.0,88.0,3060,17.1,81,usa,ford
lebaron salon,17.6,6,225.0,85.0,3465,16.6,81,usa,chrysler
cavalier,28.0,4,112.0,88.0,2605,19.6,82,usa,chevrolet
cavalier wagon,27.0,4,112.0,88.0,2640,18.6,82,usa,chevrolet
cavalier 2-door,34.0,4,112.0,88.0,2395,18.0,82,usa,chevrolet
j2000 se hatchback,31.0,4,112.0,85.0,2575,16.2,82,usa,pontiac
aries se,29.0,4,135.0,84.0,2525,16.0,82,usa,dodge
phoenix,27.0,4,151.0,90.0,2735,18.0,82,usa,pontiac
fairmont futura,24.0,4,140.0,92.0,2865,16.4,82,usa,ford
rabbit l,36.0,4,105.0,74.0,1980,15.3,82,europe,volkswagen
glc custom l,37.0,4,91.0,68.0,2025,18.2,82,japan,mazda
glc custom,31.0,4,91.0,68.0,1970,17.6,82,japan,mazda
horizon miser,38.0,4,105.0,63.0,2125,14.7,82,usa,plymouth
lynx l,36.0,4,98.0,70.0,2125,17.3,82,usa,mercury
stanza xe,36.0,4,120.0,88.0,2160,14.5,82,japan,nissan
accord,36.0,4,107.0,75.0,2205,14.5,82,japan,honda
corolla,34.0,4,108.0,70.0,2245,16.9,82,japan,toyota
civic,38.0,4,91.0,67.0,1965,15.0,82,japan,honda
civic (auto),32.0,4,91.0,67.0,1965,15.7,82,japan,honda
310 gx,38.0,4,91.0,67.0,1995,16.2,82,japan,datsun
century limited,25.0,6,181.0,110.0,2945,16.4,82,usa,buick
cutlass ciera (diesel),38.0,6,262.0,85.0,3015,17.0,82,usa,oldsmobile
lebaron medallion,26.0,4,156.0,92.0,2585,14.5,82,usa,chrysler
granada l,22.0,6,232.0,112.0,2835,14.7,82,usa,ford
celica gt,32.0,4,144.0,96.0,2665,13.9,82,japan,toyota
charger 2.2,36.0,4,135.0,84.0,2370,13.0,82,usa,dodge
camaro,27.0,4,151.0,90.0,2950,17.3,82,usa,chevrolet
mustang gl,27.0,4,140.0,86.0,2790,15.6,82,usa,ford
pickup,44.0,4,97.0,52.0,2130,24.6,82,europe,volkswagen
rampage,32.0,4,135.0,84.0,2295,11.6,82,usa,dodge
ranger,28.0,4,120.0,79.0,2625,18.6,82,usa,ford
s-10,31.0,4,119.0,82.0,2720,19.4,82,usa,chevrolet
